Unnamed: 0.1,Unnamed: 0,fire_name,fire_size,fire_size_class,stat_cause_descr,latitude,longitude,state,disc_clean_date,cont_clean_date,discovery_month,disc_date_final,cont_date_final,putout_time,disc_date_pre,disc_pre_year,disc_pre_month,wstation_usaf,dstation_m,wstation_wban,wstation_byear,wstation_eyear,Vegetation,fire_mag,weather_file,Temp_pre_30,Temp_pre_15,Temp_pre_7,Temp_cont,Wind_pre_30,Wind_pre_15,Wind_pre_7,Wind_cont,Hum_pre_30,Hum_pre_15,Hum_pre_7,Hum_cont,Prec_pre_30,Prec_pre_15,Prec_pre_7,Prec_cont,remoteness
41,41,HWY 438 W,10.0,C,Debris Burning,35.756667,-87.65,TN,3/16/2007,3/16/2007,Mar,3/16/2007 18:03,,0 days 00:00:00.000000000,2/14/2007,2007,Feb,723271,83448.31637,99999,2005,2020,15,1.0,File Not Found,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1842803833564112
42,42,,1.05,B,Debris Burning,32.87732378,-82.72099158,GA,1/13/2007,,Jan,,,,12/14/2006,2006,Dec,747805,102123.2903,63818,1955,2020,12,0.1,747805-63818-2006.gz,14.144081,16.76699029,0.0,0.0,1.264719626,0.998543689,0.0,0.0,75.37984496,82.58407079999999,0.0,0.0,0.0,0.0,0.0,0.0,0.141766231920617
43,43,,1.0,B,Debris Burning,30.33,-82.97,FL,3/2/1998,,Mar,,,,1/31/1998,1998,Jan,A00009,64811.74324,53862,1947,2000,12,0.1,File Not Found,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1458783777372294
44,44,,20.0,C,Debris Burning,32.56499998,-96.1751,TX,9/21/2005,,Sep,,,,8/22/2005,2005,Aug,722489,18934.02673,99999,1942,2020,12,1.0,722489-99999-2005.gz,28.130937100000004,27.08040201,27.21354167,23.61437908,2.7727856230000003,3.123869347,3.3390625,3.22496732,58.74293059,61.82871537,67.11518325,61.75294118,38.6,32.0,29.0,26.5,0.2651199680418281
45,45,HIGHWAY 30 FIRE,2.0,B,Debris Burning,37.34421,-83.92352,KY,3/17/2011,3/17/2011,Mar,3/17/2011 15:03,3/17/2011 16:50,0 days 00:00:00.000000000,2/15/2011,2011,Feb,723293,31629.60934,3849,1981,2018,0,0.1,File Not Found,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.149746158939394
46,46,,3.0,B,Debris Burning,35.6431,-92.5239,AR,1/11/2000,,Jan,,,,12/12/1999,1999,Dec,723429,67183.73453999999,53920,1973,2020,15,0.1,File Not Found,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2290636893828253
47,47,,4.41,B,Equipment Use,32.1666,-82.0543,GA,5/5/1992,5/5/1992,May,5/5/1992 15:00,5/5/1992 15:52,0 days 00:00:00.000000000,4/5/1992,1992,Apr,722691,17770.59628,366,1942,2020,12,0.1,File Not Found,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1363333488850595
48,48,LAUREL BRANCH,55.0,C,Debris Burning,37.46458863,-81.49122444,WV,4/23/2014,4/23/2014,Apr,4/23/2014 15:40,4/23/2014 20:30,0 days 00:00:00.000000000,3/24/2014,2014,Mar,724125,31447.27529,3859,2006,2020,0,1.0,724125-03859-2014.gz,8.9048,12.492723,11.73579545,0.0,4.18489426,3.882897862,2.940116279,0.0,56.23867069,49.52731591,40.64534884,0.0,54.5,11.7,4.3,0.0,0.127991882782634
49,49,2015-98,1.0,B,Miscellaneous,32.232007,-94.478323,TX,8/10/2015,,Aug,,,,7/11/2015,2015,Jul,722447,27787.166610000004,3901,2005,2020,12,0.1,722447-53903-2015.gz,29.70906892,30.10097561,30.27886598,28.25894358,2.786780906,2.559605911,3.1796875,1.825790754,66.83353733,63.59605911,64.60416667,69.09902199999999,0.0,0.0,0.0,9.1,0.2494810224064221
50,50,,90.0,C,Missing/Undefined,34.90639854,-94.86450192,OK,2/20/1992,2/20/1992,Feb,2/20/1992 16:10,2/20/1992 18:25,0 days 00:00:00.000000000,1/21/1992,1992,Jan,723410,33574.34652,99999,1973,2005,16,1.0,File Not Found,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2512841360131956
